Year,Month,Value
2019,Jan,259515
2019,Feb,260290
2019,Mar,262138
2019,Apr,260311
2019,May,265821
2019,Jun,260849
2019,Jul,260630
2019,Aug,260688
2019,Sep,255373
2019,Oct,252860
2019,Nov,250831
2019,Dec,256365
2020,Jan,251717
2020,Feb,249213
2020,Mar,231978
2020,Apr,203395
2020,May,200752
2020,Jun,209239
2020,Jul,231482
2020,Aug,238271
2020,Sep,239432
2020,Oct,246678
2020,Nov,254051
2020,Dec,257632
2021,Jan,261054
2021,Feb,261383
2021,Mar,273759
2021,Apr,273804
2021,May,276817
2021,Jun,284389
2021,Jul,285244
2021,Aug,290191
2021,Sep,290134
2021,Oct,294897
2021,Nov,310795
2021,Dec,316405
2022,Jan,316652
2022,Feb,323039
2022,Mar,348560
2022,Apr,339750
2022,May,341303
2022,Jun,342731
2022,Jul,333649
2022,Aug,331654
2022,Sep,331607
2022,Oct,333920
2022,Nov,318038
2022,Dec,323266
2023,Jan,327789
2023,Feb,323412
2023,Mar,317232
2023,Apr,323721
2023,May,316947
2023,Jun,315873
2023,Jul,318530
2023,Aug,318137
2023,Sep,323864
2023,Oct,325116
2023,Nov,321284
2023,Dec,324802